Video,mos_j,sos_j,ref,name,bitladder,resolution,bitrate,orientation,framerate,content_name,height,width
273a5d8a3b8c2d0eb4d4c8ff5fcfe360,14.149499805225982,2.819771537946058,0,360p_0.2M_#Files_Nov8_IMG_3220_38_48.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov8_IMG_3220_38_48.mp4,360,640
0a065b13c5722948ea2f36f94a868fcc,15.60239199256488,2.3731167927709684,0,360p_0.2M_#Files_Nov6_IMG_7242_18_28.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov6_IMG_7242_18_28.mp4,360,640
cc3e8c9636833e8afedca1522bd903cf,15.936941335512229,3.392305650233041,0,360p_0.2M_#Files_Nov4_PXL_20221223_063157100_5_15.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov4_PXL_20221223_063157100_5_15.mp4,360,640
036c7269733a23a1fede2020d6b5d570,16.124510540839754,2.32157585337021,0,360p_0.2M_#Files_Oct30_IMG_4025_0_10.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Oct30_IMG_4025_0_10.mp4,360,640
12cd8d193771567380e9934465d0104d,16.385976497538383,3.054213886441653,0,360p_0.2M_#Files_Oct30_IMG_4543_0_5.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Oct30_IMG_4543_0_5.mp4,360,640
f2a1195fdc69d954d51e35fdbd358acb,16.687878906498316,3.356856791888847,0,360p_0.2M_#Files_Nov4_PXL_20230301_044524068_0_10.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Nov4_PXL_20230301_044524068_0_10.mp4,360,640
bfc699d7025cac5c22482051bba234ec,17.057671701683738,2.513898694879181,0,360p_0.2M_#Files_Oct30_IMG_1605_4_14.mp4,360p_0.2M_,360p,0.2M,Portrait,29.97,Files_Oct30_IMG_1605_4_14.mp4,640,360
5a696a567572a5d7a1c211b6be778b9a,17.067545613576257,2.74490256417051,0,360p_0.2M_#Files_Nov12_20220630_065337000_iOS_16_26.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov12_20220630_065337000_iOS_16_26.mp4,360,640
f1dfe6c6af5c3dd0f9133d96557fd417,17.200566049197928,2.7605773647918186,0,1080p_0.5M_#Files_Oct30_PXL_20231028_050851703_5_15.mp4,1080p_0.5M_,1080p,0.5M,Portrait,30.0,Files_Oct30_PXL_20231028_050851703_5_15.mp4,1920,1080
46fd85083ac30fa5431f00cc902b078b,17.494396835643883,2.334612325222408,0,360p_0.2M_#Files_Oct30_IMG_3759_4_14.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Oct30_IMG_3759_4_14.mp4,640,360
df797617ad380213b067312533fa3a4f,17.570846815744748,2.17211094527032,0,360p_0.2M_#Files_Dec20_PXL_20231217_090328469_0_8.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Dec20_PXL_20231217_090328469_0_8.mp4,640,360
5c35602d95ecf203b9a7f8caf9207b00,17.68466684370586,2.2655074902405965,0,360p_0.2M_#Files_Oct30_IMG_4044_12_22.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Oct30_IMG_4044_12_22.mp4,360,640
3c0ce52dc449f6c10caa424ea5fef9b9,17.774987694618442,2.461335817604788,0,360p_0.2M_#Files_Nov4_PXL_20221223_063227210_0_10.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov4_PXL_20221223_063227210_0_10.mp4,360,640
805698f73821f9b94cdc1214de6cb97c,17.82792509056923,3.472474878915999,0,360p_0.2M_#Files_Oct30_IMG_1591_1_11.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Oct30_IMG_1591_1_11.mp4,360,640
f2f1ddaa26c0e32625cf5df6ec85a19d,17.947126745035597,2.6924679732820107,0,360p_0.2M_#Files_Nov4_PXL_20230314_203928500_0_8.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov4_PXL_20230314_203928500_0_8.mp4,360,640
e666a35bf39dc3db4d43f7fd0b3c8a34,18.039502092963048,2.870744950264232,0,360p_0.2M_#Files_Oct30_IMG_6352_49_59.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Oct30_IMG_6352_49_59.mp4,360,640
48c8d3999b032a45409e2808654cb281,18.05395510489614,3.4167859997355903,0,1080p_0.5M_#Files_Nov4_PXL_20221208_054645522_0_7.mp4,1080p_0.5M_,1080p,0.5M,Landscape,30.0,Files_Nov4_PXL_20221208_054645522_0_7.mp4,1080,1920
6ab041c27cd9df94e28075285bbeaa82,18.9384711775234,2.545706234953251,0,360p_0.2M_#Files_Oct30_IMG_1604_2_12.mp4,360p_0.2M_,360p,0.2M,Portrait,29.97,Files_Oct30_IMG_1604_2_12.mp4,640,360
ee387b45d116c433789c9c4dc6e93b9a,18.98540188175367,2.766724342197966,0,360p_0.2M_#Files_Dec6_IMG_0821_0_7.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Dec6_IMG_0821_0_7.mp4,640,360
f502011e522d5ea7f3b82ea696502496,19.01287454154076,3.065958260251327,0,360p_0.2M_#Files_Nov9_IMG_6603_313_323.mp4,360p_0.2M_,360p,0.2M,Portrait,29.928,Files_Nov9_IMG_6603_313_323.mp4,640,360
a1ad9f396749ef7fcde4564e344f363f,19.01591674687915,2.3777734924154235,0,1080p_0.5M_#Files_Nov12_20220627_121800000_iOS_0_6.mp4,1080p_0.5M_,1080p,0.5M,Landscape,29.871,Files_Nov12_20220627_121800000_iOS_0_6.mp4,1080,1920
61692b0f0c6ae57d3f08ef21d8fc15ad,19.043784576979043,2.8500792126666448,0,360p_0.2M_#Files_Dec20_PXL_20231217_092824318_0_9.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Dec20_PXL_20231217_092824318_0_9.mp4,640,360
c661199925d4e9002480a58a507ada86,19.054549911875544,2.5747246293011856,0,1080p_0.5M_#Files_Nov4_PXL_20230611_075320733_2_12.mp4,1080p_0.5M_,1080p,0.5M,Landscape,29.97,Files_Nov4_PXL_20230611_075320733_2_12.mp4,1080,1920
74baefdb624c308722ddd259730cfe0e,19.170636907228,2.350202834518177,0,1080p_0.5M_#Files_Nov4_PXL_20230301_020602346_12_22.mp4,1080p_0.5M_,1080p,0.5M,Landscape,29.884,Files_Nov4_PXL_20230301_020602346_12_22.mp4,1080,1920
c4941a38d864e4f663a1dc3ca4e59fae,19.18643853780399,3.096759602014268,0,360p_0.2M_#Files_Nov4_IMG_5053_8_18.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Nov4_IMG_5053_8_18.mp4,360,640
7ed51ee7c7d2f1e23bb5766321cdead6,19.19021992166834,3.197718480661388,0,1080p_0.5M_#Files_Nov4_PXL_20230301_044524068_0_10.mp4,1080p_0.5M_,1080p,0.5M,Landscape,29.97,Files_Nov4_PXL_20230301_044524068_0_10.mp4,1080,1920
2e6c426154dbd1e9faa9b2b92b1d4fd5,19.345020304326823,3.092954236318047,0,360p_0.2M_#Files_Oct30_IMG_0035 2023-10-24 04_3_13.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Oct30_IMG_0035 2023-10-24 04_3_13.mp4,360,640
fcf99e1612e35b82899c4351625b0ed1,19.352398358226715,2.7117873154428764,0,720p_0.5M_#Files_Oct30_IMG_1605_4_14.mp4,720p_0.5M_,720p,0.5M,Portrait,29.97,Files_Oct30_IMG_1605_4_14.mp4,1280,720
dd7d398dcb4861da6ebc78bee7ac8f82,19.36708080773431,2.9411366991704484,0,360p_0.2M_#Files_Nov12_20220629_101039000_iOS_4_14.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov12_20220629_101039000_iOS_4_14.mp4,360,640
d92c87d8cd066731b46cfbb7ff93884f,19.46627269027832,3.2443601821602743,0,360p_0.2M_#Files_Dec11_IMG_0923_2_12.mp4,360p_0.2M_,360p,0.2M,Portrait,28.76,Files_Dec11_IMG_0923_2_12.mp4,640,360
55123199d7be4ba8e51b9938ce3b0e9b,19.531184858838976,2.836792748253184,0,360p_0.2M_#Files_Nov4_PXL_20230611_075320733_2_12.mp4,360p_0.2M_,360p,0.2M,Landscape,29.97,Files_Nov4_PXL_20230611_075320733_2_12.mp4,360,640
9d2511aaf4977ccd33cd5882f134b89d,19.667251836788093,2.8984250449096214,0,360p_0.2M_#Files_Jan15_PXL_20240104_061919041_0_9.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Jan15_PXL_20240104_061919041_0_9.mp4,640,360
788153ea43d23acf40112a511472ba3a,19.74306466836921,2.437742631838348,0,1080p_0.5M_#Files_Nov9_IMG_1266_7_17.mp4,1080p_0.5M_,1080p,0.5M,Portrait,30.0,Files_Nov9_IMG_1266_7_17.mp4,1920,1080
c766f626b2a0a703354f66f47d3c96ac,19.81735016457129,3.0597303643295435,0,720p_0.5M_#Files_Nov4_PXL_20221223_063157100_5_15.mp4,720p_0.5M_,720p,0.5M,Landscape,30.0,Files_Nov4_PXL_20221223_063157100_5_15.mp4,720,1280
7862a7721e07cf587c443940b125657c,19.850661544078108,2.3128026121222542,0,360p_0.2M_#Files_Nov9_IMG_1266_7_17.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Nov9_IMG_1266_7_17.mp4,640,360
084c602cf2f6ef04537bd43b56ea8a9d,20.067537920870656,2.459723383741072,0,360p_0.2M_#Files_Nov29_IMG_6542_52_62.mp4,360p_0.2M_,360p,0.2M,Landscape,59.94,Files_Nov29_IMG_6542_52_62.mp4,360,640
6e73b2d84dee313d1af7c42db41da5ff,20.18283002162998,3.221590694482452,0,360p_0.2M_#Files_Dec20_PXL_20231217_053618816_0_8.mp4,360p_0.2M_,360p,0.2M,Portrait,29.97,Files_Dec20_PXL_20231217_053618816_0_8.mp4,640,360
5e41ef72877634ef19b9d44c22216976,20.25982172578274,2.7894419078218053,0,360p_0.2M_#Files_Nov9_PXL_20231029_060829729_0_7.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Nov9_PXL_20231029_060829729_0_7.mp4,640,360
3787fc1ee7f7ec0ce25fff93ecbfd5e3,20.266536806729857,2.807895148970219,0,360p_0.2M_#Files_Nov12_IMG_0532_4_14.mp4,360p_0.2M_,360p,0.2M,Landscape,29.847,Files_Nov12_IMG_0532_4_14.mp4,360,640
dc26ed16c5ecc2d9e542d5d2e07bc115,20.32920308874388,2.826927213371057,0,360p_0.2M_#Files_Nov6_IMG_5870_1_11.mp4,360p_0.2M_,360p,0.2M,Portrait,30.0,Files_Nov6_IMG_5870_1_11.mp4,640,360
7f17b1300f48e283dd515a39bb255463,20.445641506842858,2.983888210034089,0,360p_0.2M_#Files_Nov6_IMG_7264_12_22.mp4,360p_0.2M_,360p,0.2M,Landscape,30.0,Files_Nov6_IMG_7264_12_22.mp4,360,640
348f8908d2fce3083ec872a8f922bed9,20.504440124455403,3.246093631647037,0,360p_0.2M_#Files_Nov15_IMG_6651_7_17.mp4,360p_0.2M_,360p,0.2M,Landscape,28.846,Files_Nov15_IMG_6651_7_17.mp4,360,640
